du_lieu,nhan
giúp mình mở quạt để ghi chép hộ tôi,bat_quat
"ơi, khó chịu vì chói, bớt sáng lại đi",tat_den
"giúp mình lạnh quá, cho quạt nghỉ đi giúp tôi",tat_quat
giúp mình anh muốn mở quạt ngay,bat_quat
"ơi, phòng học hơi tối, bật đèn lên hộ mình",bat_den
"này, em rất cần không khí thoáng hơn đi",bat_quat
"Phòng hơi tối, cho sáng hơn",bat_den
làm ơn đèn rọi mạnh quá với,tat_den
"này, gây chói mắt, cho dịu ánh sáng hơn nhé",tat_den
"giúp mình ánh sáng làm mình mỏi mắt, tắt đèn đi",tat_den
"giúp tôi khí trong phòng ngột ngạt, mở quạt đi giúp mình",bat_quat
"làm ơn phòng nóng thật, bật quạt lên đi",bat_quat
"làm ơn quạt ồn quá, cho quạt nghỉ đi hộ mình",tat_quat
giúp mình ngay bây giờ mở đèn bàn hộ tôi,bat_den
tắt đèn để nghỉ mắt giúp mình,tat_den
giúp mình đủ mát rồi,tat_quat
làm ơn mở đèn học nhé,bat_den
giúp tôi sáng quá hộ mình,tat_den
"quạt mạnh quá, cho quạt nghỉ đi giúp tôi",tat_quat
"giúp mình mát rồi, tắt quạt đi",tat_quat
"ơi, tớ không cần đèn nữa đi",tat_den
"giúp tôi không đủ sáng, cần thêm ánh sáng với",bat_den
giúp mình ngay bật quạt bàn giúp mình,bat_quat
giúp mình lúc này mở đèn học nhé,bat_den
"ơi, tớ cần mở đèn để đọc rõ hơn với",bat_den
"giúp mình góc học ngột ngạt quá, bật quạt lên giúp tôi",bat_quat
làm ơn ngay mở đèn trong phòng giúp tôi,bat_den
giúp tôi tắt quạt bàn hộ mình,tat_quat
làm ơn tắt đèn để chuẩn bị ngủ đi,tat_den
làm ơn mở quạt bàn đi,bat_quat
bớt đèn trong phòng đi nhé,tat_den
giúp tôi mở quạt để xem bài hộ mình,bat_quat
"giúp tôi gắt quá, cho dịu ánh sáng hơn đi",tat_den
"ơi, ngay bây giờ bật quạt đi",bat_quat
"giúp tôi mình muốn thư giãn, tắt quạt đi đi",tat_quat
bật quạt để tiếp tục học hộ tôi,bat_quat
làm ơn anh rất cần sáng hơn một chút giúp tôi,bat_den
cho mát hơn để đọc tài liệu hộ mình,bat_quat
"ơi, mở quạt hộ mình",bat_quat
"giúp tôi chói mắt quá, bớt sáng lại với",tat_den
"này, mở đèn lên để mình tập trung học giúp mình",bat_den
"ơi, ngay bây giờ mở quạt điện giúp mình",bat_quat
"này, ngay bây giờ bật quạt trong phòng đi",bat_quat
giúp tôi tắt quạt trong phòng giúp tôi,tat_quat
"này, quạt làm mình lạnh, cho quạt nghỉ đi nhé",tat_quat
"ơi, lúc này mở quạt nhé",bat_quat
"này, khó chịu vì nóng nhé",bat_quat
giúp mình cho mát hơn để đọc tài liệu,bat_quat
làm ơn tớ thấy lạnh rồi hộ tôi,tat_quat
"Chỗ ngồi không thoáng, mở quạt đi",bat_quat
"ơi, ngay bây giờ bật ánh sáng đi",bat_den
"hơi lạnh rồi, tắt quạt đi!",tat_quat
"này, phòng hầm quá",bat_quat
tắt đèn bàn để chuẩn bị ngủ giúp tôi,tat_den
"ơi, chói quá, giảm ánh sáng đi hộ mình",tat_den
giúp tôi bây giờ bật đèn học với,bat_den
"giúp tôi chói quá, tắt đèn đi hộ tôi",tat_den
giúp tôi mình cần quạt để xem tài liệu đi,bat_quat
"này, cần mát hơn, mở quạt đi hộ tôi",bat_quat
"mình muốn nghỉ, tắt quạt đi giúp tôi",tat_quat
"làm ơn thấy nóng nực quá, cho mát hơn đi",bat_quat
mình muốn tắt đèn nhé,tat_den
giúp mình mình không cần quạt nữa hộ tôi,tat_quat
tắt đèn để nghỉ mắt giúp tôi,tat_den
"ơi, quạt đang thổi mạnh quá, ngừng quạt lại hộ mình",tat_quat
"ơi, mình muốn đọc yên tĩnh, tắt quạt đi giúp mình",tat_quat
"này, bây giờ bật quạt",bat_quat
"ơi, cho yên hơn để đọc yên tĩnh giúp mình",tat_quat
"giúp mình lạnh quá, thôi không cần quạt nữa với",tat_quat
"mình chỉ muốn nghỉ ngơi thôi, tắt đèn nhé đi",tat_den
mình cần quạt để ghi chép!,bat_quat
giúp tôi đèn rọi vào mắt khó chịu quá hộ tôi,tat_den
"làm ơn chỗ ngồi mờ quá, mở đèn giúp mình nhé",bat_den
lúc này mở quạt đi,bat_quat
"quạt chạy to quá, ngừng quạt lại với",tat_quat
giúp mình bàn học chưa đủ sáng để học với,bat_den
"ơi, không muốn quạt nữa, thôi không cần quạt nữa hộ mình",tat_quat
"ơi, quạt chạy to quá, thôi không cần quạt nữa hộ tôi",tat_quat
tắt đèn để ngủ giúp tôi,tat_den
giúp tôi tôi muốn sáng hơn một chút với,bat_den
"làm ơn mờ mờ quá, cần thêm ánh sáng nhé",bat_den
"quạt chạy to quá, cho quạt nghỉ đi với",tat_quat
"chói quá, cho dịu ánh sáng hơn.",tat_den
"làm ơn mát rồi, cho quạt nghỉ đi hộ mình",tat_quat
làm ơn chỗ này tối thật đi,bat_den
"ơi, chói mắt quá, bớt sáng lại nhé",tat_den
làm ơn mở đèn học cho mình hộ mình,bat_den
"làm ơn quạt ồn quá, ngừng quạt lại đi",tat_quat
"ơi, bật quạt trong phòng để dễ chịu hơn giúp mình",bat_quat
"ơi, lạnh rồi, cho quạt nghỉ đi với",tat_quat
"ơi, gây chói mắt, cho dịu ánh sáng hơn giúp tôi",tat_den
làm ơn bàn học nóng quá nhé,bat_quat
"này, bớt đèn bàn đi giúp tôi",tat_den
giúp mình tớ rất cần bật quạt với,bat_quat
làm ơn ngay bây giờ mở quạt bàn hộ tôi,bat_quat
"mình muốn nghỉ mắt, tắt đèn đi giúp tôi",tat_den
giúp tôi bật quạt điện cho mình với,bat_quat
"làm ơn không muốn quạt nữa, cho quạt nghỉ đi đi",tat_quat
giúp mình anh muốn mở đèn để đọc rõ hơn giúp tôi,bat_den
"phòng hầm quá, mở quạt đi giúp tôi",bat_quat
"ơi, anh đang cần thêm ánh sáng hộ mình",bat_den
tôi muốn mát hơn đi,bat_quat
"này, anh thấy chói mắt quá giúp tôi",tat_den
"làm ơn tối mắt quá, cho sáng hơn giúp mình",bat_den
"làm ơn mình thấy đủ mát rồi, tắt quạt nhé với",tat_quat
"này, sáng quá nhé",tat_den
"ơi, ngay mở quạt bàn hộ tôi",bat_quat
làm ơn mở đèn học cho mình giúp mình,bat_den
làm ơn lúc này mở quạt trong phòng với,bat_quat
giúp mình bớt ánh sáng đi,tat_den
"này, quạt làm mình phân tâm, tắt đi",tat_quat
"không thấy rõ, mở đèn đi!",bat_den
"đèn sáng quá, tắt đèn đi nhé",tat_den
"ơi, mờ mờ quá hộ mình",bat_den
"giúp tôi gây chói mắt, giảm ánh sáng đi giúp mình",tat_den
làm ơn lạnh quá nhé,tat_quat
"này, mở đèn cho mình học hộ tôi",bat_den
"này, anh muốn mở quạt ngay giúp tôi",bat_quat
"giúp tôi phòng hơi tối, mở đèn đi hộ mình",bat_den
"ơi, em thấy lạnh rồi giúp tôi",tat_quat
giúp mình anh không cần quạt nữa đi,tat_quat
giúp mình mở đèn trong phòng để học,bat_den
"này, phòng tự học mờ quá, mở đèn giúp mình",bat_den
"này, gió lùa khó chịu quá, ngừng quạt lại giúp mình",tat_quat
giúp tôi mình muốn không khí thoáng hơn giúp mình,bat_quat
"đèn sáng quá, giảm ánh sáng đi",tat_den
"ơi, mở ánh sáng cho mình giúp tôi",bat_den
"ơi, mình muốn thư giãn, tắt quạt đi nhé",tat_quat
"này, tớ cần không khí thoáng hơn nhé",bat_quat
giúp tôi ngay bây giờ mở đèn trong phòng hộ tôi,bat_den
giúp tôi tớ rất cần bật quạt với,bat_quat
giúp mình mở đèn cho mình đọc sách với,bat_den
giúp mình cho tối hơn để chợp mắt giúp mình,tat_den
"không đủ sáng, mở đèn đi",bat_den
"này, em rất cần bật quạt",bat_quat
"này, mở đèn cho mình đọc sách giúp mình",bat_den
"ơi, đèn rọi mạnh quá, bớt sáng lại hộ mình",tat_den
làm ơn mở đèn học để làm bài giúp mình,bat_den
"ơi, tắt đèn cho mình giúp mình",tat_den
"chói quá, tắt đèn đi đi",tat_den
giúp tôi tôi muốn yên tĩnh hơn nên tắt quạt nhé,tat_quat
"giúp tôi bàn học tối quá, cần thêm ánh sáng giúp tôi",bat_den
"này, mắt mỏi vì đèn quá sáng, tắt đèn đi",tat_den
"này, mình xong việc rồi, tắt đèn đi giúp mình",tat_den
"giúp mình mình muốn nghỉ, tắt đèn đi đi",tat_den
làm ơn ánh sáng làm mình mỏi mắt giúp tôi,tat_den
"phòng đang sáng quá, cho dịu ánh sáng hơn nhé",tat_den
"giúp tôi mình muốn nghỉ, tắt đèn đi hộ tôi",tat_den
"này, thiếu sáng quá giúp tôi",bat_den
"giúp mình quạt ồn quá, ngừng quạt lại giúp mình",tat_quat
"này, khó nhìn quá nhé",bat_den
"gió mạnh quá, cho quạt nghỉ đi hộ tôi",tat_quat
"giúp mình chữ mờ quá, mở đèn đi hộ tôi",bat_den
làm ơn mở đèn trong phòng lên nhé,bat_den
"quạt đang thổi mạnh quá, ngừng quạt lại nhé",tat_quat
giúp mình bật đèn học nhé,bat_den
"làm ơn khó chịu vì chói, bớt sáng lại đi",tat_den
"giúp mình mình xong việc rồi, tắt đèn đi đi",tat_den
làm ơn lúc này bật ánh sáng với,bat_den
"giúp mình khó nhìn quá, cần thêm ánh sáng",bat_den
"giúp tôi gắt quá, bớt sáng lại nhé",tat_den
"này, giảm đèn trong phòng đi giúp tôi",tat_den
tôi muốn sáng hơn một chút hộ mình,bat_den
giúp tôi không cần gió nữa đâu giúp tôi,tat_quat
bật đèn bàn để đọc sách nhé,bat_den
làm ơn ngay bây giờ bật quạt bàn đi,bat_quat
"giúp mình đèn sáng quá, bớt sáng lại đi",tat_den
"làm ơn quạt làm mình lạnh, tắt quạt đi giúp tôi",tat_quat
"Phòng đang sáng quá, giảm ánh sáng đi",tat_den
"giúp mình căn phòng hơi tối, bật đèn lên hộ tôi",bat_den
Tôi muốn không khí thoáng hơn,bat_quat
"giúp mình lạnh quá, ngừng quạt lại giúp tôi",tat_quat
"giúp mình gây chói mắt, cho dịu ánh sáng hơn giúp mình",tat_den
giúp mình tắt quạt bàn cho mình hộ mình,tat_quat
giúp tôi mình cần quạt để viết bài hộ mình,bat_quat
giúp mình tắt ánh sáng đi giúp mình,tat_den
"ơi, anh rất cần mát hơn",bat_quat
làm ơn tắt quạt điện để đỡ ồn hộ tôi,tat_quat
"này, mình cần quạt để ôn bài",bat_quat
giúp tôi cho yên hơn để tập trung,tat_quat
"này, tắt quạt điện cho mình hộ mình",tat_quat
làm ơn mình thấy chói mắt quá với,tat_den
"ơi, tôi thấy chói mắt quá nhé",tat_den
làm ơn tắt quạt trong phòng nhé,tat_quat
"mình muốn thư giãn, tắt đèn đi hộ mình",tat_den
"giúp tôi khó chịu vì chói, tắt đèn đi giúp mình",tat_den
"đèn sáng quá, tắt đèn đi hộ tôi",tat_den
"này, mình cần quạt để làm bài hộ tôi",bat_quat
"này, cần sáng hơn để viết bài hộ tôi",bat_den
"làm ơn lạnh rồi, thôi không cần quạt nữa giúp mình",tat_quat
"ơi, gió tạt vào người khó chịu, cho quạt nghỉ đi giúp tôi",tat_quat
giúp tôi anh rất cần sáng hơn một chút với,bat_den
"này, căn phòng hơi tối, bật đèn lên",bat_den
"ơi, bật quạt để dễ chịu hơn giúp tôi",bat_quat
giúp mình tắt đèn để chuẩn bị ngủ hộ tôi,tat_den
"không khí bí bách quá, cần gió một chút nhé",bat_quat
tắt quạt trong phòng vì lạnh rồi giúp mình,tat_quat
"này, cần sáng hơn để viết bài nhé",bat_den
giúp mình tôi đang cần sáng hơn một chút với,bat_den
giúp mình bật quạt trong phòng hộ mình,bat_quat
"oi bức quá, bật quạt lên.",bat_quat
"ơi, lúc này mở đèn học với",bat_den
giúp mình mở quạt để mát hơn,bat_quat
"Đèn sáng quá, tắt đèn đi",tat_den
làm ơn cho yên hơn để nghỉ nhé,tat_quat
bật đèn học lên,bat_den
"giúp tôi ngột ngạt quá, cần gió một chút",bat_quat
"ơi, bật quạt để tiếp tục học đi",bat_quat
"này, đủ sáng rồi giúp tôi",tat_den
giúp mình anh không cần quạt nữa hộ tôi,tat_quat
giúp mình mở đèn cho mình làm bài hộ mình,bat_den
"giúp mình đủ mát rồi, thôi không cần quạt nữa hộ mình",tat_quat
"này, chói quá, cho dịu ánh sáng hơn đi",tat_den
Mở quạt để đọc tài liệu,bat_quat
mở đèn để học đi,bat_den
"này, tắt đèn học cho mình giúp tôi",tat_den
giúp tôi bật quạt để mát hơn đi,bat_quat
giúp tôi tắt đèn bàn đi hộ mình,tat_den
làm ơn tắt đèn bàn giúp mình,tat_den
giúp tôi giảm ánh sáng giúp mình để đỡ chói giúp mình,tat_den
"giúp mình khó nhìn quá, cần thêm ánh sáng đi",bat_den
giúp mình lúc này bật quạt điện nhé,bat_quat
"này, em thấy chói mắt quá nhé",tat_den
"này, bàn học ngột ngạt quá, bật quạt lên",bat_quat
giúp mình tắt quạt bàn đi hộ mình,tat_quat
giúp tôi tôi đang cần mở đèn để đọc rõ hơn,bat_den
"làm ơn không cần sáng nữa, mình sắp chợp mắt đi",tat_den
"này, phòng nóng thật với",bat_quat
"làm ơn đèn gắt quá, giảm ánh sáng đi",tat_den
"giúp mình thiếu ánh sáng quá, mở đèn đi",bat_den
"ơi, tắt quạt trong phòng vì lạnh rồi giúp mình",tat_quat
"giúp mình chữ mờ quá, bật đèn lên với",bat_den
"giúp mình khó nhìn quá, mở đèn đi giúp tôi",bat_den
căn phòng chưa đủ sáng để học hộ mình,bat_den
"ơi, tối quá, cho sáng hơn giúp tôi",bat_den
giúp tôi mình đang cần không khí thoáng hơn giúp mình,bat_quat
làm ơn bật quạt trong phòng để dễ chịu hơn đi,bat_quat
"này, anh đang cần mát hơn",bat_quat
giúp tôi em không cần đèn nữa,tat_den
giúp mình chói mắt quá nhé,tat_den
"giúp mình gió mạnh quá, ngừng quạt lại với",tat_quat
"làm ơn gió lùa khó chịu quá, tắt quạt đi",tat_quat
"làm ơn tối quá, bật đèn lên đi",bat_den
"giúp tôi chói mắt quá, bớt sáng lại giúp tôi",tat_den
"làm ơn không thoáng chút nào, bật quạt lên",bat_quat
giúp mình mở quạt trong phòng cho mình,bat_quat
"quạt ồn quá, ngừng quạt lại!",tat_quat
"này, mát rồi, ngừng quạt lại với",tat_quat
"giúp tôi bàn học hơi tối, bật đèn lên nhé",bat_den
"làm ơn gió mạnh quá, cho quạt nghỉ đi hộ mình",tat_quat
giúp mình em muốn tắt đèn với,tat_den
"này, gây chói mắt giúp tôi",tat_den
"giúp mình chói mắt quá, bớt sáng lại đi",tat_den
"làm ơn sáng quá, giảm ánh sáng đi hộ tôi",tat_den
làm ơn mình cần bật đèn giúp tôi,bat_den
làm ơn quạt chạy to quá với,tat_quat
"ơi, sáng quá, cho dịu ánh sáng hơn đi",tat_den
làm ơn ra mồ hôi rồi nhé,bat_quat
giúp mình tớ đang cần bật đèn nhé,bat_den
"này, bớt đèn lại hộ mình",tat_den
"ơi, thiếu ánh sáng quá, cho sáng hơn hộ mình",bat_den
giúp tôi mình đang cần bật đèn nhé,bat_den
"này, mờ quá, mở đèn đi",bat_den
"gắt quá, cho dịu ánh sáng hơn hộ tôi",tat_den
"ơi, bật đèn trong phòng lên đi",bat_den
"giúp tôi khí trong phòng ngột ngạt, bật quạt lên",bat_quat
gió lùa khó chịu quá nhé,tat_quat
giúp tôi ngay mở quạt điện hộ mình,bat_quat
"này, mở ánh sáng lên hộ mình",bat_den
"mắt mỏi vì đèn quá sáng, giảm ánh sáng đi",tat_den
"ơi, không cần sáng nữa",tat_den
"này, đèn gắt quá, bớt sáng lại hộ tôi",tat_den
"ơi, phòng tự học bí quá hộ mình",bat_quat
"này, bật đèn bàn lên hộ mình",bat_den
"quạt đang thổi mạnh quá, ngừng quạt lại",tat_quat
mở quạt bàn lên hộ mình,bat_quat
"này, mình muốn đọc yên tĩnh, tắt quạt đi hộ mình",tat_quat
"này, tắt đèn học để nghỉ mắt với",tat_den
làm ơn bật đèn trong phòng với,bat_den
mở đèn bàn hộ mình,bat_den
"ơi, bật quạt điện để mát hơn với",bat_quat
"ơi, trời tối rồi, bật đèn lên giúp tôi",bat_den
làm ơn ngay mở quạt bàn hộ mình,bat_quat
"này, góc học mờ quá, mở đèn giúp mình nhé",bat_den
"giúp mình không đủ sáng, bật đèn lên giúp tôi",bat_den
Bớt ánh sáng đi,tat_den
"giúp mình không cần sáng nữa, tắt đèn đi giúp mình",tat_den
giúp tôi bây giờ bật đèn trong phòng hộ tôi,bat_den
em đang cần mở quạt ngay với,bat_quat
giúp mình ngay mở đèn bàn nhé,bat_den
"ơi, mở quạt để ôn bài đi",bat_quat
"giúp tôi đủ mát rồi, tắt quạt đi hộ mình",tat_quat
giúp mình đèn rọi vào mắt khó chịu quá giúp mình,tat_den
giúp tôi cho sáng hơn để đọc tài liệu với,bat_den
"giúp tôi chói quá, tắt đèn đi đi",tat_den
giúp mình mở quạt bàn với,bat_quat
"này, em muốn bật đèn",bat_den
"ơi, quạt ồn quá, tắt quạt đi",tat_quat
giảm đèn bàn lại.,tat_den
làm ơn căn phòng bí quá đi,bat_quat
"này, cho sáng hơn để xem bài nhé",bat_den
"chói mắt quá, cho dịu ánh sáng hơn hộ tôi",tat_den
làm ơn tớ đang cần bật quạt hộ tôi,bat_quat
giúp tôi mở đèn cho mình đọc sách đi,bat_den
"làm ơn ánh sáng mạnh quá, tắt đèn đi hộ mình",tat_den
"này, bàn học tối quá, mở đèn đi với",bat_den
làm ơn bật ánh sáng cho mình giúp mình,bat_den
làm ơn bí quá,bat_quat
"ơi, quạt làm mình lạnh giúp tôi",tat_quat
"này, đèn sáng quá, bớt sáng lại giúp mình",tat_den
"giúp tôi khí trong phòng ngột ngạt, bật quạt lên giúp mình",bat_quat
Tôi muốn tắt đèn,tat_den
giúp mình bật quạt để làm bài cho dễ chịu đi,bat_quat
"này, quạt mạnh quá với",tat_quat
"giúp tôi quạt chạy to quá, tắt quạt đi đi",tat_quat
làm ơn em muốn yên tĩnh hơn nên tắt quạt hộ mình,tat_quat
"này, mình muốn thêm ánh sáng hộ tôi",bat_den
"lạnh quá, cho quạt nghỉ đi.",tat_quat
"này, chói mắt quá, bớt sáng lại đi",tat_den
"làm ơn đủ mát rồi, ngừng quạt lại hộ mình",tat_quat
giúp tôi tớ rất cần mát hơn hộ tôi,bat_quat
"này, đèn sáng quá, cho dịu ánh sáng hơn",tat_den
giúp mình mình cần mở quạt ngay,bat_quat
làm ơn mình thấy lạnh rồi đi,tat_quat
"này, gió lùa khó chịu quá, tắt quạt đi đi",tat_quat
làm ơn hơi lạnh rồi với,tat_quat
"làm ơn không cần sáng nữa, cho dịu ánh sáng hơn giúp mình",tat_den
giúp tôi chỗ này tối thật hộ mình,bat_den
giúp tôi tắt đèn để chuẩn bị ngủ với,tat_den
"làm ơn khó nhìn quá, cho sáng hơn đi",bat_den
giúp tôi gắt quá đi,tat_den
bật quạt điện cho mình hộ tôi,bat_quat
làm ơn em muốn không khí thoáng hơn với,bat_quat
giúp mình em không cần đèn nữa đi,tat_den
góc học chưa đủ sáng để học với,bat_den
"này, tôi rất cần sáng hơn một chút hộ tôi",bat_den
tôi rất cần bật quạt!,bat_quat
"này, quạt chạy to quá, cho quạt nghỉ đi với",tat_quat
"ơi, không cần sáng nữa, giảm ánh sáng đi đi",tat_den
"ơi, mắt mỏi vì đèn quá sáng, tắt đèn đi giúp tôi",tat_den
"này, tối mắt quá, mở đèn đi đi",bat_den
"mình nhìn không rõ, cho sáng hơn nhé",bat_den
"ơi, gắt quá, bớt sáng lại giúp tôi",tat_den
giúp tôi gió tạt vào người khó chịu hộ mình,tat_quat
"giúp mình phòng bí bách quá, bật quạt giúp mình với",bat_quat
"ơi, dừng quạt lại giúp mình hộ tôi",tat_quat
"giúp tôi không cần quạt nữa, thôi không cần quạt nữa giúp mình",tat_quat
giúp mình tắt ánh sáng nhé,tat_den
anh không cần quạt nữa giúp tôi,tat_quat
giúp tôi ngay bây giờ mở ánh sáng giúp tôi,bat_den
giúp tôi bật đèn bàn để học nhé,bat_den
"ơi, đèn chưa đủ sáng nhé",bat_den
làm ơn gắt quá giúp tôi,tat_den
tắt quạt điện để đỡ ồn,tat_quat
"ơi, anh cần bật quạt nhé",bat_quat
bật quạt điện để tiếp tục học đi,bat_quat
mình rất cần thêm ánh sáng giúp tôi,bat_den
"giúp mình trời tối rồi, mở đèn đi nhé",bat_den
làm ơn anh muốn yên tĩnh hơn nên tắt quạt giúp tôi,tat_quat
mình cần quạt để đọc sách hộ tôi,bat_quat
"ơi, mở quạt để xem bài",bat_quat
"gió tạt vào người khó chịu, thôi không cần quạt nữa",tat_quat
"ơi, giảm đèn lại đi",tat_den
"không đủ sáng, bật đèn lên",bat_den
bật quạt điện lên!,bat_quat
bật quạt để xem tài liệu cho dễ chịu!,bat_quat
"ơi, ngay bây giờ mở đèn học giúp mình",bat_den
giảm đèn đi đi,tat_den
giúp mình cho mát hơn để đọc sách,bat_quat
khó chịu vì nóng hộ tôi,bat_quat
giúp tôi mở ánh sáng để làm bài giúp mình,bat_den
"ơi, tôi rất cần mát hơn",bat_quat
giúp tôi phòng tự học chưa đủ sáng để học với,bat_den
"này, tắt đèn trong phòng đi giúp tôi",tat_den
"này, ngay mở đèn trong phòng hộ tôi",bat_den
"giúp tôi mờ mờ quá, cho sáng hơn đi",bat_den
giúp tôi anh không cần đèn nữa đi,tat_den
làm ơn bớt đèn lại,tat_den
"giúp tôi gió tạt vào người khó chịu, tắt quạt đi hộ mình",tat_quat
"giúp tôi mờ quá, cho sáng hơn nhé",bat_den
bật quạt điện.,bat_quat
tắt đèn trong phòng đi đi,tat_den
"làm ơn khí trong phòng ngột ngạt, bật quạt lên nhé",bat_quat
phòng tự học chưa đủ sáng để học.,bat_den
cho mát hơn để xem bài nhé,bat_quat
"giúp mình gió tạt vào người khó chịu, cho quạt nghỉ đi hộ tôi",tat_quat
"đủ mát rồi, ngừng quạt lại với",tat_quat
giúp mình thấy nóng nực quá hộ mình,bat_quat
"giúp mình căn phòng không thoáng, mở quạt đi nhé",bat_quat
giúp tôi đủ sáng rồi giúp mình,tat_den
"giúp mình mắt mỏi vì đèn quá sáng, cho dịu ánh sáng hơn nhé",tat_den
giúp mình dừng quạt lại giúp mình,tat_quat
giúp mình em đang cần không khí thoáng hơn giúp mình,bat_quat
"ơi, anh cần mở đèn để đọc rõ hơn giúp tôi",bat_den
giúp tôi tắt đèn trong phòng để nghỉ mắt đi,tat_den
"ơi, lúc này mở quạt bàn giúp tôi",bat_quat
giúp mình anh rất cần mở đèn để đọc rõ hơn giúp mình,bat_den
"ơi, ngay bây giờ bật quạt trong phòng",bat_quat
anh muốn mở quạt ngay.,bat_quat
"giúp mình mờ mờ quá, cần thêm ánh sáng hộ mình",bat_den
"này, em cần mát hơn đi",bat_quat
"giúp mình không cần quạt nữa, tắt quạt đi",tat_quat
giúp mình tớ muốn ánh sáng dịu hơn hộ mình,tat_den
"giúp mình bí quá, cho mát hơn hộ tôi",bat_quat
"này, hơi lạnh rồi, cho quạt nghỉ đi hộ mình",tat_quat
giúp tôi mình nhìn không rõ,bat_den
giúp tôi tớ rất cần thêm ánh sáng hộ mình,bat_den
"góc học tối quá, cho sáng hơn với",bat_den
"giúp mình quạt làm mình lạnh, ngừng quạt lại giúp mình",tat_quat
"giúp mình quạt đang thổi mạnh quá, tắt quạt đi",tat_quat
"làm ơn không cần sáng nữa, mình sắp nghỉ giúp mình",tat_den
"giúp mình phòng đang sáng quá, cho dịu ánh sáng hơn",tat_den
cho phòng tối hơn một chút với,tat_den
tắt ánh sáng cho mình!,tat_den
tớ đang cần mát hơn đi,bat_quat
"giúp mình góc học không thoáng, mở quạt đi với",bat_quat
"đèn rọi mạnh quá, giảm ánh sáng đi đi",tat_den
"làm ơn gió lùa khó chịu quá, cho quạt nghỉ đi giúp tôi",tat_quat
giúp tôi bật quạt bàn hộ tôi,bat_quat
"góc học tối quá, mở đèn đi đi",bat_den
Gắt quá,tat_den
"ơi, tắt đèn học để nghỉ mắt hộ tôi",tat_den
"làm ơn thiếu ánh sáng quá, bật đèn lên hộ tôi",bat_den
làm ơn tắt đèn học cho mình giúp mình,tat_den
"ơi, đèn rọi vào mắt khó chịu quá đi",tat_den
"quạt chạy to quá, tắt quạt đi giúp mình",tat_quat
"làm ơn không cần quạt nữa, tắt quạt đi với",tat_quat
giúp mình hơi lạnh rồi giúp mình,tat_quat
"giúp tôi khó chịu vì chói, bớt sáng lại",tat_den
"ơi, cho mát hơn để ôn bài giúp mình",bat_quat
"giúp tôi tối quá, bật đèn lên giúp tôi",bat_den
"ơi, mình cần thêm ánh sáng giúp tôi",bat_den
"này, gắt quá hộ mình",tat_den
"giúp tôi ánh sáng yếu quá, tăng sáng lên",bat_den
"ơi, hơi lạnh rồi, thôi không cần quạt nữa",tat_quat
"này, không muốn quạt nữa giúp mình",tat_quat
giúp mình mở đèn cho mình đọc sách hộ mình,bat_den
"ơi, đủ sáng rồi hộ mình",tat_den
giúp tôi bật đèn trong phòng để học với,bat_den
"góc học tối quá, mở đèn đi giúp tôi",bat_den
giúp tôi mình chuẩn bị ngủ nên tắt đèn,tat_den
ngay bây giờ bật quạt trong phòng giúp mình,bat_quat
"làm ơn gió lùa khó chịu quá, tắt quạt đi đi",tat_quat
"giúp tôi sáng quá, giảm ánh sáng đi giúp mình",tat_den
"ơi, anh rất cần sáng hơn một chút hộ tôi",bat_den
"ơi, cho tối hơn để chợp mắt",tat_den
"giúp tôi đèn gắt quá, bớt sáng lại với",tat_den
giúp tôi ngay bây giờ mở quạt giúp tôi,bat_quat
giúp mình chói mắt quá,tat_den
"làm ơn lạnh rồi, tắt quạt đi đi",tat_quat
"này, anh rất cần mát hơn hộ tôi",bat_quat
làm ơn bớt đèn bàn đi,tat_den
quạt mạnh quá nhé,tat_quat
"bàn học tối quá, cho sáng hơn giúp mình",bat_den
bật đèn bàn cho mình nhé,bat_den
"này, mình muốn tắt đèn",tat_den
"này, anh muốn không khí thoáng hơn nhé",bat_quat
"ơi, mình không cần đèn nữa nhé",tat_den
"ơi, mình thấy lạnh rồi đi",tat_quat
cho sáng hơn để học với,bat_den
"ơi, phòng học nóng quá giúp mình",bat_quat
"giúp tôi gió lùa khó chịu quá, ngừng quạt lại giúp mình",tat_quat
"giúp tôi quạt chạy to quá, thôi không cần quạt nữa nhé",tat_quat
giảm đèn trong phòng đi.,tat_den
"ơi, cho sáng hơn để học với",bat_den
làm ơn khó chịu vì chói đi,tat_den
"ơi, quạt chạy to quá hộ tôi",tat_quat
giúp tôi giảm đèn học đi,tat_den
làm ơn gây chói mắt giúp mình,tat_den
"Phòng đang sáng quá, tắt đèn đi",tat_den
"ơi, đèn rọi mạnh quá, tắt đèn đi giúp tôi",tat_den
"ơi, gắt quá với",tat_den
"này, mở đèn học để học hộ mình",bat_den
giúp tôi mình thấy lạnh rồi giúp tôi,tat_quat
"ơi, quạt đang kêu hơi to, tắt giúp mình",tat_quat
làm ơn mở quạt bàn để mát hơn hộ mình,bat_quat
giúp mình cho tối hơn để nghỉ hộ tôi,tat_den
"chói mắt quá, bớt sáng lại giúp tôi",tat_den
làm ơn tớ không cần quạt nữa giúp tôi,tat_quat
"này, anh cần mở quạt ngay đi",bat_quat
"này, mình muốn mở quạt ngay",bat_quat
"sáng quá, giảm ánh sáng đi hộ tôi",tat_den
bây giờ bật đèn bàn giúp tôi,bat_den
"này, bật đèn học lên giúp tôi",bat_den
"ơi, chữ mờ quá, bật đèn lên giúp mình",bat_den
